id,awb,courier,date,weight,zone,amount,cod,status
4090585,SRSP4005496982,ShipRocket,2026-08-06,0.25,Kerala,29.5,0.0,in_transit
4090586,7D135996904,DTDC,2026-08-06,1.0,Maharashtra,51.92,0.0,pending
4090587,77111882680,BlueDart,2026-08-06,0.17,Maharashtra,34.69,0.0,delivered
4090588,77111882691,BlueDart,2026-08-06,1.0,Madhya Pradesh,43.37,0.0,delivered
4090589,7D135996905,DTDC,2026-08-06,2.0,Chhattisgarh,66.08,0.0,in_transit
4090590,500704170731,Trackon,2026-08-06,2.0,Uttar Pradesh,54.28,0.0,in_transit
4090591,77111882702,BlueDart,2026-08-06,0.25,Delhi,34.69,0.0,delivered
4090592,DBTP0000027642,Ekart Logistics,2026-08-06,1.0,Karnataka,37.76,0.0,pending
4090593,77111882724,BlueDart,2026-08-06,0.24,Uttar Pradesh,34.69,0.0,delivered
4090594,7D135996906,DTDC,2026-08-06,2.0,Delhi,66.08,0.0,delivered
4090595,DBTP0000027643,Ekart Logistics,2026-08-06,1.0,Uttar Pradesh,37.76,0.0,in_transit
4090596,DBLP0000033479,Ekart Logistics,2026-08-06,5.0,Tamil Nadu,96.76,0.0,in_transit
4090597,26022370056520,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,delivered
4090598,77111882750,BlueDart,2026-08-06,0.25,Delhi,34.69,0.0,delivered
4090599,7D135996907,DTDC,2026-08-06,1.0,Maharashtra,51.92,0.0,in_transit
4090600,77111882761,BlueDart,2026-08-06,0.09,Haryana,34.69,0.0,delivered
4090601,77111882772,BlueDart,2026-08-06,0.12,Maharashtra,34.69,0.0,pending
4090602,77111882794,BlueDart,2026-08-06,0.03,Maharashtra,34.69,0.0,delivered
4090603,77111882816,BlueDart,2026-08-06,0.01,Kerala,34.69,0.0,pending
4090604,77111882820,BlueDart,2026-08-06,0.25,Odisha,34.69,0.0,in_transit
4090605,DBTP0000027644,Ekart Logistics,2026-08-06,1.5,Kerala,37.76,0.0,in_transit
4090606,26022370056521,Shree Maruti,2026-08-06,0.5,Gujarat,23.6,0.0,delivered
4090607,500704171073,Trackon,2026-08-06,3.0,Punjab,54.28,0.0,in_transit
4090608,500623283186,Trackon,2026-08-06,0.5,Uttar Pradesh,31.86,0.0,in_transit
4090610,77111882842,BlueDart,2026-08-06,0.25,Odisha,34.69,0.0,pending
4090609,34791187071665,ShipRocket,2026-08-06,0.2,Uttar Pradesh,29.5,0.0,in_transit
4090611,77111882853,BlueDart,2026-08-06,0.5,Gujarat,34.69,0.0,delivered
4090612,DBTP0000027645,Ekart Logistics,2026-08-06,1.5,Maharashtra,37.76,0.0,pending
4090613,7D135996908,DTDC,2026-08-06,1.0,Andhra Pradesh,51.92,0.0,in_transit
4090614,77111882864,BlueDart,2026-08-06,0.5,Maharashtra,34.69,0.0,pending
4090615,26022370056522,Shree Maruti,2026-08-06,1.0,Gujarat,23.6,0.0,delivered
4090616,7D135996909,DTDC,2026-08-06,2.0,Maharashtra,66.08,0.0,in_transit
4090617,77111884010,BlueDart,2026-08-06,0.25,Bihar,34.69,0.0,in_transit
4090618,77111884032,BlueDart,2026-08-06,0.25,Uttarakhand,34.69,0.0,delivered
4090619,77121808735,BlueDart,2026-08-06,1.0,Uttar Pradesh,43.37,0.0,in_transit
4090620,77111884054,BlueDart,2026-08-06,0.25,Delhi,34.69,0.0,discrepancy
4090621,DBTP0000027658,Ekart Logistics,2026-08-06,1.0,Delhi,37.76,0.0,in_transit
4090622,77111884076,BlueDart,2026-08-06,0.25,Kerala,34.69,0.0,delivered
4090623,7D135996901,DTDC,2026-08-06,0.5,Andhra Pradesh,29.5,0.0,in_transit
4090624,7D135996828,DTDC,2026-08-06,0.5,West Bengal,29.5,0.0,in_transit
4090625,77111874383,BlueDart,2026-08-06,0.5,Karnataka,34.69,0.0,delivered
4090626,77111874394,BlueDart,2026-08-06,0.25,Maharashtra,34.69,0.0,delivered
4090627,7D135996829,DTDC,2026-08-06,2.0,Himachal Pradesh,66.08,0.0,in_transit
4090628,77111874405,BlueDart,2026-08-06,0.5,Karnataka,34.69,0.0,in_transit
4090629,DBLP0000033417,Ekart Logistics,2026-08-06,17.0,Haryana,309.16,0.0,pending
4090630,26022370056446,Shree Maruti,2026-08-06,1.5,Gujarat,44.84,0.0,in_transit
4090631,77111874416,BlueDart,2026-08-06,0.09,Uttarakhand,34.69,0.0,pending
4090632,DBTP0000027584,Ekart Logistics,2026-08-06,1.5,Telangana,37.76,0.0,delivered
4090633,77111874420,BlueDart,2026-08-06,0.19,Telangana,34.69,0.0,pending
4090634,7D135996830,DTDC,2026-08-06,1.0,Maharashtra,51.92,0.0,in_transit
4090635,77111874431,BlueDart,2026-08-06,0.18,Telangana,34.69,0.0,pending
4090636,77111874442,BlueDart,2026-08-06,0.11,Gujarat,34.69,0.0,delivered
4090637,77111874453,BlueDart,2026-08-06,0.12,Maharashtra,34.69,0.0,delivered
4090638,DBLP0000033419,Ekart Logistics,2026-08-06,5.0,Karnataka,96.76,0.0,pending
4090639,77111874464,BlueDart,2026-08-06,0.25,Delhi,34.69,0.0,delivered
4090640,77111874490,BlueDart,2026-08-06,0.23,Uttar Pradesh,34.69,0.0,pending
4090641,77111874512,BlueDart,2026-08-06,3.0,Goa,64.43,0.0,in_transit
4090642,7D135996831,DTDC,2026-08-06,2.0,Bihar,66.08,0.0,in_transit
4090643,31150410372551,Delhivery,2026-08-06,2.0,Uttar Pradesh,84.96,0.0,delivered
4090644,DBTP0000027585,Ekart Logistics,2026-08-06,1.0,Maharashtra,37.76,0.0,in_transit
4090645,77111874523,BlueDart,2026-08-06,0.25,Karnataka,34.69,0.0,delivered
4090646,500704170893,Trackon,2026-08-06,3.0,Karnataka,54.28,0.0,pending
4090647,34791187071153,ShipRocket,2026-08-06,0.25,Uttarakhand,29.5,0.0,delivered
4090648,500623283321,Trackon,2026-08-06,0.5,Telangana,31.86,0.0,delivered
4090649,77111874534,BlueDart,2026-08-06,0.16,Uttar Pradesh,34.69,0.0,delivered
4090650,77111874545,BlueDart,2026-08-06,0.5,Madhya Pradesh,34.69,0.0,delivered
4090651,77111874556,BlueDart,2026-08-06,0.5,Kerala,34.69,0.0,delivered
4090652,7D135996832,DTDC,2026-08-06,1.5,Odisha,66.08,0.0,in_transit
4090653,77111874560,BlueDart,2026-08-06,0.16,Uttar Pradesh,34.69,0.0,in_transit
4090655,77111874571,BlueDart,2026-08-06,0.25,Odisha,34.69,0.0,in_transit
4090654,500704170533,Trackon,2026-08-06,3.0,Maharashtra,54.28,0.0,delivered
4090656,DBLP0000033421,Ekart Logistics,2026-08-06,4.0,Maharashtra,79.06,0.0,in_transit
